shelfmark,headline,summary,url,image_soup,image_server_base_url,image_rel
"Aarau, Aargauer Kantonsbibliothek, MsMurF 3",Parchment · 100 ff. · 31 x 24 cm · Muri (?) · 1508,"Pontifical rites for Johannes Feierabend, Abbot of the Cloister at Muri from 1500 through 1508. On July 12, 1507 Pope Julius II conferred the pontifical upon Abbot Johannes Feierabend and his successors.               (pel)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/0003,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-0003/kba-0003_002r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-0003/kba-0003_002r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-0003/kba-0003_002r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsWettF 16: 1",Paper · VIII + 1168 pp. · 37.5 x 24 cm · Wettingen · 1576,"A richly illustrated Swiss chronicle in three parts, or books. The newest and most comprehensive book (Part I) contains the origin and history of the Confederation up to the 14th century. The oldest book (Part II) contains a description of the Burgundian wars of the 15th century. The subsequent book (Part III) describes selected events from the history of the Confederation during the 15th and 16th centuries, such as the deposition of Hans Waldmann (1489) and the Battle of Marignano (1515), and contains an illustrated catalog of ordnance captured in the Swabian War of 1499.               (pel)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/0016-1,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-0016-1/kba-0016-1_0000h.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-0016-1/kba-0016-1_0000h.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-0016-1/kba-0016-1_0000h.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsWettF 16: 2",Paper · VI + 262 + III ff. · 34.7 x 24 cm · Wettingen · 1572,"A richly illustrated Swiss chronicle in three parts, or books. The newest and most comprehensive book (Part I) contains the origin and history of the Confederation up to the 14th century. The oldest book (Part II) contains a description of the Burgundian wars of the 15th century. The subsequent book (Part III) describes selected events from the history of the Confederation during the 15th and 16th centuries, such as the deposition of Hans Waldmann (1489) and the Battle of Marignano (1515), and contains an illustrated catalog of ordnance captured in the Swabian War of 1499.               (pel)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/0016-2,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-0016-2/kba-0016-2_005v.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-0016-2/kba-0016-2_005v.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-0016-2/kba-0016-2_005v.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsWettF 16: 3",Paper · IV + 126 + V ff. · 38.1 x 23.5 cm · Wettingen · 1572,"A richly illustrated Swiss chronicle in three parts, or books. The newest and most comprehensive book (Part I) contains the origin and history of the Confederation up to the 14th century. The oldest book (Part II) contains a description of the Burgundian wars of the 15th century. The subsequent book (Part III) describes selected events from the history of the Confederation during the 15th and 16th centuries, such as the deposition of Hans Waldmann (1489) and the Battle of Marignano (1515), and contains an illustrated catalog of ordnance captured in the Swabian War of 1499.               (pel)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/0016-3,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-0016-3/kba-0016-3_003v.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-0016-3/kba-0016-3_003v.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-0016-3/kba-0016-3_003v.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsWettF 26: 4",Paper · 79 ff. · 30 x 21 cm · 1445 / third quarter of the 15th century,"Manuscript of collected works including texts by Wasmodus de Homberg, Lampertus Episcopus Argentinensis, Johannes Mulberg and Felix Hemmerlin regarding the Beguine conflict and a tract by Benedictus de Asinago on poverty.               (pel)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/0026-4,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-0026-4/kba-0026-4_001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-0026-4/kba-0026-4_001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-0026-4/kba-0026-4_001r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsBN 49",Parchment · 184 ff. · 12.5 x 8.5 cm · Bohemia · end of the 14th century / first half of the 15th century,"This manuscript contains a collection of prayers in Bohemian; eight prayers are attributed to Johannes of Neumarkt (around 1310-1380), an early representative of Bohemian humanism. The manuscript is decorated with several red and blue initials. An image of the Arma Christi  used to be glued onto f. 39r, of which only residue remains.               (sau)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/BN0049,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-BN0049/kba-BN0049_016r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-BN0049/kba-BN0049_016r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-BN0049/kba-BN0049_016r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, ZF 18",Paper · 334 ff. · 40 x 29-29.5 cm · Bremgarten · [1514-1532],"The Eidgenössische Chronik by Werner Schodoler (1490-1541) is in chronological order the last of the illustrated Swiss Chronicles of the late Middle Ages. It was written by private initiative between 1510 and 1535 and took as its model primarily the Official Bernese Chronicle - Amtliche Berner Chronik - by Diebold Schilling and the Chronicle - Kronica - by Petermann Etterlin. This volume, the third and last of the Chronicle, presents the events of the Burgundian Wars and the Swabian War; it ends with the Italian military campaigns, among others the Battle of Marignano on September 13th and 14th 1515, in which presumably the author himself took part. The volume is illustrated with 196 uncolored pen sketches by an anonymous artist. Today the three volumes are held in different libraries: the first volume is in the Leopold-Sophien-Bibliothek in Überlingen, the second in the City Archives in Bremgarten, and the third in the Cantonal Library of Aargau.               (ber)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/Ms-ZF-0018,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-Ms-ZF-0018/kba-Ms-ZF-0018_001r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-Ms-ZF-0018/kba-Ms-ZF-0018_001r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-Ms-ZF-0018/kba-Ms-ZF-0018_001r.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsWettF 2",Parchment · 276 ff. · 40 x 30 cm · Zürich (?) · 1260-1280,"Part two (New Testament) of an illuminated three-volume bible (of which MsWettF 1 and MsWettF 2 remain), probably bequeathed to the cloister of Wettingen by Rudolph Schwerz, choirmaster of the Grossmunster Cathedral of Zurich and pastor of Altdorf. The origin of the Biblia Sacra is not documented, but it is assumed that it originated in the Zurich art circle. There is some text loss because certain initials have been cut out.               (wue)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MsWettF0002,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MsWettF0002/kba-MsWettF0002_005v.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MsWettF0002/kba-MsWettF0002_005v.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MsWettF0002/kba-MsWettF0002_005v.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurF 2",Parchment · 398 ff. · 43 x 30 cm · second quarter of the 14. century,"This large-format antiphonary, with rich fleuronné decoration from the second quarter of the 14th century, contains the chants of the Office from Pentecost to the beginning of Advent. It was written for the St. Leonhard Monastery of Augustinian canons in Basel and only came to Muri Abbey in modern times.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurF0002,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurF0002/kba-MurF0002_0008v.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurF0002/kba-MurF0002_0008v.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurF0002/kba-MurF0002_0008v.jp2/full/pct:25/0/default/jpg
"Aarau, Aargauer Kantonsbibliothek, MsMurF 5",Parchment · 258 ff. · 30.5-31 x 22.5-23 cm · first half of the 14th century,"The Italian Dominican Jacobus de Varagine, known as the author of the Legenda aurea, wrote not only lives of the saints, but also extensive cycles of sermons. This collection from the first half of the 14th century contains about 340 sermons for all Sundays and holidays of the church year. In 1553 it came to the library of Muri Abbey.               (gam)",https://www.e-codices.unifr.ch/en/searchresult/list/one/kba/MurF0005,"<iiif-image image-classes=""rounded loading-indicator-thumb preview-thumbnail"" image-file-path=""kba/kba-MurF0005/kba-MurF0005_0012r.jp2"" image-rel=""https://www.e-codices.unifr.ch/loris/kba/kba-MurF0005/kba-MurF0005_0012r.jp2/full/pct:25/0/default/jpg"" image-server-base-url=""https://www.e-codices.unifr.ch/loris"" image-size="",150"">
</iiif-image>",https://www.e-codices.unifr.ch/loris,https://www.e-codices.unifr.ch/loris/kba/kba-MurF0005/kba-MurF0005_0012r.jp2/full/pct:25/0/default/jpg
